"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"HDFCBANK","1,728.20","1,716.25","42.95","2.57","1,716.25","188,073","322,780,286.25","7,391,837,984,243.04","1,757.50","1,337.00"
"AUBANK","777.20","777.05","8.00","1.04","777.05","40,483","31,457,315.15","369,290,088,738.00","795.00","539.00"
"AXISBANK","970.70","969.00","2.50","0.26","969.00","11,172","10,825,668.00","2,648,922,840,132.34","990.00","640.50"
"KOTAKBANK","1,861.70","1,862.80","-2.05","-0.11","1,862.80","4,308","8,024,942.40","2,741,507,022,493.60","2,064.40","1,643.50"
"SBIN","589.25","589.80","-0.80","-0.14","589.80","22,928","13,522,934.40","2,266,476,597,534.77","629.55","466.85"
"FEDERALBNK","132.00","132.75","-0.55","-0.41","132.75","69,791","9,264,755.25","282,446,181,330.70","143.40","93.15"
"BANKBARODA","202.35","202.60","-2.60","-1.27","202.60","38,152","7,729,595.20","382,018,866,887.09","205.90","96.95"
"ICICIBANK","944.70","942.05","-15.95","-1.66","942.05","17,112","16,120,359.60","6,701,880,624,908.00","964.75","704.85"
"INDUSINDBK","1,367.35","1,371.35","-28.20","-2.01","1,371.35","15,958","21,884,003.30","912,309,597,270.67","1,413.10","789.50"
"PNB","57.05","57.35","-1.25","-2.13","57.35","226,110","12,967,408.50","174,216,288,158.68","62.00","29.45"
"IDFCFIRSTB","78.65","78.50","-1.85","-2.30","78.50","452,511","35,522,113.50","250,206,601,237.18","84.50","32.60"
"BANDHANBNK","231.25","219.00","-5.95","-2.65","219.00","658,565","144,225,735.00","166,686,587,599.32","314.80","182.15"
