Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
10-JUL-2023,19400.35,19435.85,19327.1,19355.9,268246132,25991.55
11-JUL-2023,19427.1,19515.1,19406.45,19439.4,251263638,26883.78
12-JUL-2023,19497.45,19507.7,19361.75,19384.3,327941559,40163.14
13-JUL-2023,19495.2,19567,19385.8,19413.75,310442517,27244.56
14-JUL-2023,19493.45,19595.35,19433.5,19564.5,291165841,25484.44
